filename,sentence,age,gender,accents,variant,demog_group,bucket,duration_s
common_voice_bn_30686117,প্রতিটিই হিমাচল প্রদেশের হামিরপুর লোকসভা কেন্দ্রের অন্তর্গত।,twenties,male_masculine,Indian,,,,
common_voice_bn_30686132,এটি একই শহর থেকে দুই দলের মধ্যে সংগঠিত প্রথম উয়েফা সুপার কাপ হবে।,twenties,male_masculine,Indian,,,,
common_voice_bn_30686139,এ দম্পতির দুই কন্যা অ্যান ও ক্যারল এবং দুই পুত্র টম ও প্যাট ছিল।,twenties,male_masculine,Indian,,,,
common_voice_bn_30705837,তার পিতা-মাতা পাকিস্তানি বংশোদ্ভূত ছিলেন।,twenties,male_masculine,Indian,,,,
common_voice_bn_30706553,"যেহেতু এই কোর্স দুটি হাতে কলমের এবং নিয়মিত ক্লাস করার প্রয়োজন, সে ক্ষেত্রে একই সঙ্গে চাকরি করা অসম্ভব।",,,,,,,
common_voice_bn_30706559,এই লোকসভা কেন্দ্রটি বোকারো এবং ধানবাদ জেলাগুলির কিছু অংশ দ্বারা গঠিত এবং সদর দফতর ধানবাদ শহরে অবস্থিত।,,,,,,,
common_voice_bn_30707175,বিপ্লবী শ্রীশচন্দ্র ঘোষ এই পত্রিকায় কর্মরত ছিলেন।,,,,,,,
common_voice_bn_30707193,নির্বাচন বলতে ঈশ্বর কর্তৃক মানুষের মধ্য থেকে কাউকে নিজের প্রতিনিধি হিসেবে মনোনীত করাকে বোঝায়।,,,,,,,
common_voice_bn_30707480,এটি একটি ক শ্রেনীর পৌরসভা।,,,,,,,
common_voice_bn_30707487,ক্রিকেট খেলা থেকে অবসর নেয়ার পর শ্রীলঙ্কা জাতীয় মহিলা ক্রিকেট দলের নির্বাচকমণ্ডলীর অন্যতম সদস্য হিসেবে রয়েছেন।,,,,,,,
common_voice_bn_30709360,ভারতে গিয়ে দেলোয়ার হোসেন দেখা করেন নিয়মিত মুক্তিবাহিনীর চতুর্থ ইস্ট বেঙ্গল রেজিমেন্টের মুক্তিযোদ্ধাদের সঙ্গে।,twenties,male_masculine,Indian,,,,
common_voice_bn_30727247,"এছাড়া, তিনি প্রকাশ করেছেন বহু গবেষণা পত্র।",,,,,,,
common_voice_bn_30727248,এর চারদিন পর জালালাবাদ পাহাড়ে ব্রিটিশ সৈন্যদের সঙ্গে যুদ্ধে জয়ী হয়েছিলেন।,,,,,,,
common_voice_bn_30727249,মাঝে তিনি এক মৌসুমের জন্য মুম্বই সিটির হয়ে ধারে খেলেছেন।,,,,,,,
common_voice_bn_30727250,আমরা ইতিমধ্যেই জাতীয় আইনের অনেক উন্নতি অর্জন করেছি এবং আমি নিশ্চিত যে আরও ইতিবাচক পরিবর্তন করা হবে।,,,,,,,
common_voice_bn_30727251,তিব্বত শাসনের উদ্দেশ্যে চিং সম্রাট সাম্রাজ্যের প্রতিনিধি হিসেবে একজন উচ্চপদস্থ আধিকারিক নিয়োগ করেন।,,,,,,,
common_voice_bn_30732670,দলে তিনি মূলতঃ একজন অল-রাউন্ডার।,twenties,male_masculine,Indian,,,,
common_voice_bn_30738544,সে চিড়িয়াখানার একজন কর্মীর আঙ্গুল কামড়ে দিয়েছিল।,twenties,male_masculine,,,,,
common_voice_bn_30738620,তিনি চট্টগ্রাম মহানগর আওয়ামী লীগের সহ সভাপতি।,twenties,male_masculine,,,,,
common_voice_bn_30738832,"তিনি সিরিয়ায় তার খ্যাতি প্রতিষ্ঠা করেন, যেখানে তার পরিবার ছোটবেলায় স্থানান্তরিত হয়েছিল এবং যেখানে তিনি শিক্ষিত ছিলেন।",twenties,male_masculine,,,,,
common_voice_bn_30767852,চুক্তির মেয়াদ শেষ হবার পর অস্ট্রেলিয়ায় প্রত্যাবর্তন করেন।,,,,,,,
common_voice_bn_30779346,"প্রথম বিশ্বযুদ্ধের শেষের বছরগুলিতে, কলোনির প্রথম ট্রেড ইউনিয়ন গঠিত হয়েছিল।",twenties,male_masculine,Indian,,,,
common_voice_bn_30925685,ব্রিটিশরা সাঁওতালদের থেকে রাজস্ব আদায় করা শুরু করে।,,,,,,,
common_voice_bn_30925688,কিন্তু মি-ফাম-ছোস-গ্রুব-র্গ্যা-ম্ত্শো সম্পত্তির ভাগে অসন্তুষ্ট হয়ে দ্গে-লুগ্স ধর্মসম্প্রদায়ের সঙ্গে বিরোধিতা শুরু করেন ও নেপাল পালিয়ে যান।,,,,,,,
common_voice_bn_30981711,তিনি প্রতিনিধিত্ব করবেন ইংল্যান্ডের জাতীয় ফুটবল সংস্থা দ্য ফুটবল অ্যাসোসিয়েশনের।,twenties,male_masculine,,,,,
common_voice_bn_30984596,ঐতিহ্যময় মহাভারতের সময়কাল থেকে এই শহরটিতে বসতি স্থাপিত হয়েছে।,,,,,,,
common_voice_bn_30985260,"নেপাল এইভাবে পাকিস্তান থেকে আলাদা ছিল, যা ভারতের সাথে বিরোধে ছিল।",,,,,,,
common_voice_bn_30985267,"তাবলিগ জামাতের দেওবন্দি মুসলিম সংস্থার সাথে ঘনিষ্ঠ যোগাযোগ আছে, যেটি সৌদি রয়াল পরিবারের চালায়।",,,,,,,
common_voice_bn_30985933,তিনিই মার্কিন নাগরিকদের মধ্যে সর্বপ্রথম এই বিরল সম্মাননা পান।,twenties,male_masculine,,,,,
common_voice_bn_30985992,এজন্য অবাধ ও নিরপেক্ষ নির্বাচন রাজনৈতিক-গণতন্ত্রের একটি আবশ্যিক পূর্বশর্ত।,twenties,male_masculine,,,,,
common_voice_bn_30986326,"রাজস্থান সরকারের পাশাপাশি হরিয়ানা, তামিলনাড়ু, তেলেঙ্গানা এবং গুজরাট সরকারও এখন এই মহামারী ঘোষণা করেছে।",twenties,male_masculine,,,,,
common_voice_bn_30986327,মোটামুটি নবীর হিজরি-পূর্ব অবস্থা যতটুকু একজন মানুষের জানা থাকা আবশ্যক তা সম্বন্ধে যথেষ্ট ধারণা দেয়া হয়েছে গ্রন্থটিতে।,twenties,male_masculine,,,,,
common_voice_bn_30986434,এটির চিত্রনাট্য রচনা ও সহ-পরিচালনা করেছেন শামীম আহমেদ রনি।,twenties,male_masculine,,,,,
common_voice_bn_30986510,গঙ্গা সেখান থেকে তাঁর হাতে প্রবাহিত হতে শুরু করলেন।,twenties,male_masculine,,,,,
common_voice_bn_30986512,ফলে হজ কাফেলা ছিল উপজাতিদের উপার্জনের একটি লাভজনক উৎস।,twenties,male_masculine,,,,,
common_voice_bn_30986576,যিনি স্কাই নিউজের শহর সম্পাদক হিসেবে কাজ করেন।,twenties,male_masculine,,,,,
common_voice_bn_30986788,বেশ কয়েকটি মেইল ট্রেন প্রতিদিনই চলাচল করে থাকে।,twenties,male_masculine,,,,,
common_voice_bn_30986790,বর্তমানে এটি একটি জাতীয় ঐতিহ্য জাদুঘর।,twenties,male_masculine,,,,,
common_voice_bn_30986791,বিভূতিভূষণ হল্ট রেলওয়ে স্টেশনের রেলপথে বৈদ্যুতীক ট্রেন চলাচল করে।,twenties,male_masculine,,,,,
common_voice_bn_30986793,সামনের ডানার ডিসকাল ছোপগুলি ফ্যাকাশে এবং তাদের বাইরের কিনারা বেষ্টন করে একটি অস্পষ্ট ফ্যাকাশে অসম্পূর্ণ পোস্ট-ডিসকাল রেখা বিদ্যমান।,twenties,male_masculine,,,,,
common_voice_bn_30986797,পৃথিবীর সবচেয়ে উচু দালান বুর্জ আল খলিফা নির্মাণ করেছে স্যামসাং।,twenties,male_masculine,,,,,
common_voice_bn_30986802,তিনি উন্নততর মানুষ তৈরি ও তাদেরকে শোষণের জন্য মানুষের উপর পরীক্ষা করেছিলেন।,twenties,male_masculine,,,,,
common_voice_bn_30987893,ডঃ মুর্তজা ছিলেন একজন চিন্তাশীল লেখক।,twenties,male_masculine,,,,,
common_voice_bn_30988023,পরবর্তীতে তিনি তার গোয়েন্দা উপন্যাসে তাকে নিয়ে লিখেন।,twenties,male_masculine,,,,,
common_voice_bn_30988120,"দ্বীপগুলির তটরেখা অনিয়মিত, ফলে এগুলিতে অনেক প্রাকৃতিক পোতাশ্রয় আছে।",twenties,male_masculine,,,,,
common_voice_bn_30988195,বাংলাদেশ ডায়াবেটিক সমিতি হাসপাতালে প্রথমে অনারারি রিসার্চ ডিরেক্টর হিসেবে যুক্ত হয়েছিলেন এ কে আজাদ খান।,twenties,male_masculine,,,,,
common_voice_bn_30988240,এটি লগার নদী উপত্যকার জেলার উত্তর অংশে অবস্থান করছে।,twenties,male_masculine,,,,,
common_voice_bn_30988264,এটি শ্রীলঙ্কা জাতীয় ক্রিকেট দল ও শ্রীলঙ্কায় অনুষ্ঠিত প্রথম-শ্রেণীর ক্রিকেট খেলা পরিচালনা করে।,twenties,male_masculine,,,,,
common_voice_bn_30988269,"তিনি এই অঞ্চলের বিজেপির আরও বেশ কয়েকজন নতুন ও তরুণ প্রার্থীর মধ্যে একজন ছিলেন, যারা তাদের নির্বাচনে বিজয়ী হয়েছিলেন।",twenties,male_masculine,,,,,
common_voice_bn_30988271,"অপরপক্ষে, হল এক জাতীয় স্বাধীন ম্যালওয়্যার প্রোগ্রাম যা সক্রিয়ভাবে নিজেকে ছড়িয়ে চলে এবং অন্যান্য কম্পিউটারকে সংক্রমিত করে।",twenties,male_masculine,,,,,
common_voice_bn_30988308,"অ্যালবামটির একমাত্র একক, ""ফ্রি ফোর"" কেবলমাত্র মার্কিন যুক্তরাষ্ট্রে প্রকাশিত হয়েছিল।",twenties,male_masculine,,,,,
common_voice_bn_30988309,অর্থাৎ এই দুই দেশের দ্বিপাক্ষিক বাণিজ্যের ভারসাম্য ব্যাপকভাবে ইন্দোনেশিয়ার পক্ষে ছিল।,twenties,male_masculine,,,,,
common_voice_bn_30988380,এই সংস্কার দ্বারা গঠিত নয়টি ডিভিশনের প্রত্যেকটিতে একটি করে অশ্বারোহী এবং তিনটি পদাতিক ব্রিগেড ছিল।,twenties,male_masculine,,,,,
common_voice_bn_30988390,অস্ট্রো-হাঙ্গেরিয়ান সাম্রাজ্যের সবচেয়ে অভিজাত পরিবারগুলির একটিতে জন্ম হয়েছিল তার।,twenties,male_masculine,,,,,
common_voice_bn_30988404,আংশিকভাবে নিজস্ব ব্যর্থতা আর কিছুটা দল নির্বাচকমণ্ডলীর উপেক্ষা দায়ী ছিল।,twenties,male_masculine,,,,,
common_voice_bn_30988406,"যারা নিয়মিত ব্যায়াম চর্চা করে থাকে, তাদের জন্য এটি সুস্থতার নিয়ামক।",twenties,male_masculine,,,,,
common_voice_bn_30990905,ফলে তিনি তারকা যৌন আবেদনের প্রতীক হয়ে ওঠেন।,,,Good,,,,
common_voice_bn_30990907,ছবিতে নিজেকে স্মরণীয় করে রাখার জন্য বেছে নেয়া হয়েছিল।,,,Good,,,,
common_voice_bn_30991184,জরায়ুতে বিভিন্ন ধরনের জন্মগত সমস্যার দেখা দিতে পারে।,,,,,,,
common_voice_bn_30991216,এ চলচ্চিত্রটি সমালোচকদের প্রশংসা লাভ করে এবং পরিচালকের পরিচালনা প্রশংসা লাভ করে।,,,,,,,
common_voice_bn_30991264,বৃহত্তম হিমবাহ হচ্ছে গ্রে হিমবাহ।,,,,,,,
common_voice_bn_30991300,ঘরোয়া প্রথম-শ্রেণীর নিউজিল্যান্ডীয় প্রথম-শ্রেণীর ক্রিকেটে অকল্যান্ড ও ইংরেজ কাউন্টি ক্রিকেটে গ্লুচেস্টারশায়ার দলের প্রতিনিধিত্ব করেছেন তিনি।,,,,,,,
common_voice_bn_30991301,"গল্পটি সম্পর্কে তিনি বলেছিলেন, ""দুর্ভাগ্যক্রমে, ছবিটির বার্তা অযৌক্তিক গোলকধাধায় এবং কখনও কখনও অদ্ভুত ক্রমের ধাক্কায় হারিয়ে গেছে""।",,,,,,,
common_voice_bn_30991316,অবশ্য তিনি দক্ষিণ ভারতের কোন ব্রাহ্মণ পরিবারে জন্মগ্রহণ করেছিলেন বলেও অনেকে মনে করেন।,,,,,,,
common_voice_bn_30991322,বাস্তু-অঞ্চলের -এর মধ্যে মাত্র অঞ্চল সুরক্ষিত।,,,,,,,
common_voice_bn_30991328,এসবের পরও তাঁদের মধ্যকার বিরোধ থেমে থাকে নি।,,,,,,,
common_voice_bn_30991349,"কিন্তু, কোন টেস্টেই তার খেলার সুযোগ হয়নি।",,,Bengali,,,,
common_voice_bn_30991351,"ঘরোয়া প্রথম-শ্রেণীর দক্ষিণ আফ্রিকান ক্রিকেটে ইস্টার্ন প্রভিন্স, ওয়েস্টার্ন প্রভিন্স এবং বর্ডার দলের প্রতিনিধিত্ব করেন।",,,Bengali,,,,
common_voice_bn_30991379,তার দুই বোন শাহনাজ পাহলভি ও লেইলা পাহলভি এবং দুই ভাই রেজা পাহলভি ও আলি-রেজা পাহলভি।,,,,,,,
common_voice_bn_30991386,প্রাণী-বাহিত বোমা হামলা হ'ল বিস্ফোরক সরবরাহের ব্যবস্থা হিসাবে প্রাণী ব্যবহার।,,,,,,,
common_voice_bn_30991403,তিনি গুটিকয়েক তামিল চলচ্চিত্রে অভিনেতা হিসেবেও কাজ করেছেন।,,,,,,,
common_voice_bn_30991431,জিওং-ইনের মৃত্যু জাতীয় ক্ষোভ এবং আন্তর্জাতিক সচেতনতা ছড়ায়।,,,,,,,
common_voice_bn_30991495,"এটা যথাযথভাবে করা না হলে, পরিবেশ ও স্বাস্থ্য উভয়ের ঝুঁকি আছে।",,,,,,,
common_voice_bn_30991524,আমি দিনে €১০০ আয় করি।,,,,,,,
common_voice_bn_30991525,পাঁচ বছর বয়সে তিনি পরিবারসহ কানাডার টরন্টো জান।,,,,,,,
common_voice_bn_30991604,খাদ্যে ভেজাল কথাটি এখন সারাবিশ্বজুড়ে প্রচলিত।,,,,,,,
common_voice_bn_30991619,দোন-'গ্রুব-ত্শে-ব্র্তান-র্দো-র্জের মৃত্যু হলে তিনি পরবর্তী রাজা হিসেবে সিংহাসনে বসেন।,,,,,,,
common_voice_bn_30991633,নেলি তাকে সহযোগিতা করবেন।,twenties,male_masculine,,,,,
common_voice_bn_30991646,"এই সংগঠনটি আজারবাইজান, সোভিয়েত প্রজাতন্ত্র এবং পশ্চিম ইউরোপের অন্যান্য দেশগুলোতে প্রতিষ্ঠা লাভ করে।",,,,,,,
common_voice_bn_30991649,অন্যদিকে স্বাগতিক দলকে চ্যাম্পিয়নশীপের শিরোপা লাভের জন্যে টাই কিংবা ড্র করলেই চলবে।,,,,,,,
common_voice_bn_30991659,এদিকে ডিনের প্রেমিক পাবলো এক রাতে সিগারেট খেতে বেরিয়ে আর ফেরে না।,,,,,,,
common_voice_bn_30991730,কাব্যিক প্রেরণা তার কাছে ছিল একদমই সহজাত।,,,,,,,
common_voice_bn_30991795,যারা সাধারনত নৌকায় বসবাস করে।,,,চট্টগ্রামের ভাষার সামান্য টানসহ মোটামুটি প্রমিত বাংলা,,,,
common_voice_bn_30991805,অবসর গ্রহণের পর দর্শনের জাতীয় অধ্যাপক নিযুক্ত হন।,,,,,,,
common_voice_bn_30991871,তিনি ঘুরি রাজবংশের উপর লেখালেখি করেছেন।,,,,,,,
common_voice_bn_30991875,এই আইনটি সকল ক্ষেত্রে প্রযোজ্য।,,,,,,,
common_voice_bn_30991902,এই কাজের জন্য তিনি ফিল্মফেয়ার বিশেষ পুরস্কার দক্ষিণ অর্জন করেন।,,,,,,,
common_voice_bn_30991914,তাদের জন্য পৃথক টুর্নামেন্টের আয়োজন করে।,,,,,,,
common_voice_bn_30991958,সুজন চক্রবর্তী বিভিন্ন সামাজিক এবং সাংস্কৃতিক কার্যকলাপের সাথে জড়িত।,,,,,,,
common_voice_bn_30991974,বিশ্ববিদ্যালয়টির উদ্দেশ্য হল ইসলাম ধর্ম এবং ইসলামী সংস্কৃতির বিস্তার ঘটানো।,,,,,,,
common_voice_bn_30991980,প্রাথমিক চিকিৎসা নিয়ে যুদ্ধক্ষেত্রে থেকেই নেতৃত্ব দিতে থাকেন।,,,,,,,
common_voice_bn_30991981,তিনি পাঞ্জাব বিধানসভার সদস্য ছিলেন।,,,,,,,
common_voice_bn_30991982,তার আটজন সন্তান হার্ভার্ড মেডিকেল স্কুলে লেখাপড়া করেন।,,,,,,,
common_voice_bn_30991987,পদার্থবিজ্ঞান ও গাণিতিক ক্ষেত্রে ভেক্টরের ভূমিকা অনন্য।,,,,,,,
common_voice_bn_30992004,তার বাব-মার সংগীতে আগ্রহ ছিল।,,,Good,,,,
common_voice_bn_30992019,এটি হল আধুনিক ভূত্বকীয় পাত গঠনের পর্যায়।,,,,,,,
common_voice_bn_30992029,একাধিক জাতীয় ও আন্তর্জাতিক কমিটি ও প্রতিষ্ঠান স্ট্যান্ডার্ড পরীক্ষণ পদ্ধতি নিয়ন্ত্রণ ও রচনা করে থাকে।,,,,,,,
common_voice_bn_30992030,ভারত ডোমিনিয়ন হিসেবে স্বীকৃতি না পাওয়ায় সংসদের অনুমতি ছাড়াই এই ক্ষমতা তার ছিল।,,,,,,,
common_voice_bn_30992040,আন্তর্জাতিক চলচ্চিত্র দেখা আমাকে অনুপ্রাণিত করেছিল এবং আমাকে বিশ্বব্যাপী চলচ্চিত্র নির্মাণের একটি দৃষ্টিকোণ দিয়েছে।,,,,,,,
common_voice_bn_30992103,তামিল ভারতের তামিলনাড়ু রাজ্য ও শ্রীলঙ্কায় প্রচলিত।,,,,,,,
common_voice_bn_30992209,টুর্নামেন্টের বর্তমান চ্যাম্পিয়ন টুর্নামেন্টের বর্তমান চ্যাম্পিয়ন ঢাকা আবাহনী।,,,,,,,
common_voice_bn_30992220,কিন্তু মামলাটি এখনও ভারতের সুপ্রিম কোর্টে বহমান আছে।,,,,,,,
common_voice_bn_30992233,গাজরের মধ্যে থাকা বিটা ক্যারোটিন দৃষ্টিশক্তি বাড়াতে সাহায্য করে।,,,,,,,
common_voice_bn_30992240,"প্রতিটি তারে আড়াআড়ি দণ্ডের নিচে পাঁচটি গুটি থাকে, যা এক একক নির্দেশ করে।",,,,,,,
common_voice_bn_30992249,মাধ্যমিক শিক্ষা সমাপ্তি করে মেলবোর্নের ওয়েসলি কলেজে পড়াশোনা করেন।,,,,,,,
common_voice_bn_30992280,তাঁদের প্রেরণায় তিনি গবেষণার কাজে মনোনিবেশ করেন।,twenties,male_masculine,,,,,
common_voice_bn_30992363,বাগদা ব্লক গ্রামীণ এলাকা নয়টি গ্রাম পঞ্চায়েত নিয়ে গঠিত।,,,,,,,
common_voice_bn_30992365,ডানহাতে ব্যাটিংয়ের পাশাপাশি ডানহাতে মিডিয়াম বোলিং করে থাকেন।,,,,,,,
common_voice_bn_30992381,সংযুক্ত আরব আমিরাত ইরানের জোটবদ্ধ বাহিনীর বিরুদ্ধে সৌদি নেতৃত্বাধীন এবং যুক্তরাষ্ট্রের পৃষ্ঠপোষকতায় থাকা জোটকে সমর্থন করছে।,twenties,male_masculine,,,,,
common_voice_bn_30992398,তিনি দুধ উৎপাদন কার্যক্রমের সাথে সংশ্লিষ্ট থাকেন।,twenties,male_masculine,,,,,
common_voice_bn_30992437,"ফুটবল ক্রিকেট, হকি সহ অন্যান্য খেলাধূলার ব্যবস্থা রয়েছে।",,,,,,,
common_voice_bn_30992458,এটি এ অঞ্চলের দীর্ঘতম লেক হিসেবে পরিচিত।,twenties,male_masculine,,,,,
common_voice_bn_30992476,যেখানে তিনি তার ইউরো অ্যাঞ্জেল প্রযোজনা সংস্থা প্রতিষ্ঠা করেন।,,,,,,,
common_voice_bn_30992519,অপরদিকে বোধগম্য তাপ সরাসরি প্রকৃতির তাপমাত্রা পরিবর্তন করে ফেলে।,twenties,male_masculine,,,,,
common_voice_bn_30992534,ঘরোয়া প্রথম-শ্রেণীর দক্ষিণ আফ্রিকান ক্রিকেটে কোয়াজুলু-নাটালের প্রতিনিধিত্ব করেছেন।,,,,,,,
common_voice_bn_30992536,এরা একসাথে অনেকগুলি করে ডিম পাড়ে।,,,,,,,
common_voice_bn_30992551,গুপ্ত প্রাণি অধিকার সংস্থা পেটা-র সমর্থক,twenties,male_masculine,,,,,
common_voice_bn_30992558,পুরুষ ও মহিলা চলে যাওয়ার আগে তাদের দুটি ছেলে এসে বাবার ইচ্ছার বিরুদ্ধে লড়াই করে।,,,,,,,
common_voice_bn_30992560,জলযান থামানো বা নোঙর করা যাবে না।,,,,,,,
common_voice_bn_30992590,দু'টি প্রধান নদী বিপাশা এবং রাবি এ জেলার মধ্য দিয়ে প্রবাহিত হয়েছে।,,,,,,,
common_voice_bn_30992597,"সেকারণে, সকালবেলা এসব মিডিয়াতে সময় নষ্ট করার সুযোগ ও থাকে না।",,,,,,,
common_voice_bn_30992614,আর নতুন কাঠের গম্বুজটির বাইরের অংশে সীসার পাত ব্যবহার করেন।,,,,,,,
common_voice_bn_30992651,প্রতিটি নিবন্ধ সেক্ষেত্রে বিশেষজ্ঞ কেউ লিখে থাকে।,twenties,,,,,,
common_voice_bn_30992668,ভারতের সংবিধান বিশ্বের সার্বভৌম রাষ্ট্রগুলির মধ্যে বৃহত্তম লিখিত সংবিধান।,twenties,male_masculine,,,,,
common_voice_bn_30992705,একমাত্র বোলার হিসেবে শেফিল্ড শিল্ডে রাজ্য দলের পক্ষে চার শতাধিক উইকেট পেয়েছেন।,,,,,,,
common_voice_bn_30992793,ওয়ার্ডটি একটি সিটি মিউনিসিপাল কর্পোরেশন কাউন্সিল নির্বাচনী অঞ্চল গঠন করে এবং এটি কলকাতা বন্দর বিধানসভা কেন্দ্রর একটি অংশ।,,,,,,,
common_voice_bn_30992819,"হিব্রু বাইবেল অনুসারে, তিনি ছিলেন ইসরায়েলের প্রথম এবং গুরুত্বপূর্ণ একজন রাজা।",,,,,,,
common_voice_bn_30992820,হুসেন তিন আগস্টে ছয়জন নতুন মন্ত্রীর পদ নিযুক্ত করে বলেছিলেন যে বাকী পদে জনগণের সাথে পরামর্শের পরে নিয়োগ করা হবে।,,,,,,,
common_voice_bn_30992842,যা বক্স অফিসে ভালো সাফল্য অর্জন করতে পারেনি।,twenties,male_masculine,,,,,
common_voice_bn_30992843,ইরাকের অধিবাসী এই মানুষটি জাহাঙ্গীরের শাসনামলে ভারতবর্ষে এসেছিলেন।,,,প্রমিত বাংলা,,,,
common_voice_bn_30992850,এ প্রেক্ষিতে ক্ষমতায় অধিষ্ঠিত হবার দিনই এ চুক্তিনামায় স্বাক্ষর করেন।,,,,,,,
common_voice_bn_30992947,"তিনি ক্যাথলিক ধর্মাবলম্বী হিসেবে বেড়ে ওঠেন, এবং তিনি এখনো নিজেকে এই ধর্মমতে বিশ্বাসী বলে দাবী করেন।",twenties,male_masculine,,,,,
common_voice_bn_30993032,এরপর আব্দুল আজিজ গাজী নতুন আচার্য হন এবং তার ছোট ভাই আব্দুল রশীদ গাজীকে উপাচার্য হিসেবে নিযুক্ত করেন।,twenties,male_masculine,প্রমিত বাংলা,,,,
common_voice_bn_30993046,"অন্যান্য ম্যাকাও পাখিদের সাথে এদের সম্পর্ক সুনিশ্চিত না হলেও এরা স্কারলেট ম্যাকাও এর নিকটাত্মীয়, দেখতে একই রকম।",,,,,,,
common_voice_bn_30993052,এটি সিলেট শিক্ষা বোর্ড কর্তৃক অনুমোদিত।,,,,,,,
common_voice_bn_30993079,এর মাত্র একটি রানওয়ে আছে।,twenties,male_masculine,প্রমিত বাংলা,,,,
common_voice_bn_30993080,জেলে বসেই লিখে ফেলেন মার্কসবাদী পার্টির প্রথম খসড়া কর্মসূচী।,twenties,male_masculine,,,,,
common_voice_bn_30993104,"প্রশাসনিকভাবে নেপাল বিভিন্ন প্রদেশ, জেলা, গ্রাম উন্নয়ন কমিটি, নগর এলাকা এবং পৌরসভায় বিভক্ত।",,,,,,,
common_voice_bn_30993143,কিন্তু বাংলাদেশ দলের জন্য রানার-আপ প্রাপ্তি বাংলাদেশের ক্রিকেট ইতিহাসে সর্বাধিক প্রাপ্তি ও স্মরণীয় সাফল্য হিসেবে বিবেচিত হয়েছে।,twenties,male_masculine,,,,,
common_voice_bn_30993279,"এছাড়াও স্বল্পসংখ্যক তাজিক, উজবেক এবং সাঈদ জনগোষ্ঠী লোকজনের বসতি রয়েছে।",,,,,,,
common_voice_bn_30993354,"শিক্ষামন্ত্রী হিসাবে, মহিউদ্দিন পাবলিক স্কুলগুলিতে বিজ্ঞান ও গণিতের শিক্ষার মাধ্যম হিসাবে ইংরেজি ব্যবহার বন্ধ করেছিলেন।",,,,,,,
common_voice_bn_30993440,এটির নিজস্ব পাকা ভবন রয়েছে।,,,,,,,
common_voice_bn_30993442,প্রাথমিকভাবে কমিশন ত্রিশ বছরের বেশি বয়সী মহিলাদের ভোটাধিকার প্রদানে সম্মত হয়েছিল।,,,,,,,
common_voice_bn_30993460,চব্বিশ বছর বয়সে তিনি দ্পাল-মি-'গ্যুর-দ্গা'-ল্দান-ব্ক্রা-শিস-ছোস-স্দিংস বৌদ্ধবিহারের চতুর্থ প্রধানের দায়িত্ব লাভ করেন।,,,,,,,
common_voice_bn_30993481,এর জন্য পরে তিনি বেলজিয়ামে একটি পদক পান।,,,,,,,
common_voice_bn_30993510,"এটি একটি প্রধানত গ্রামীণ অঞ্চল, যেখানে।",,,,,,,
